"","Customers","Churned Customers","New Customers","Net Customer Change","Subscription","MRR","ARPA","LTV","CAC","Recover CAC","LTV/CAC"
"January",60,-4.27084369212574,7.48502901233789,11.7558727044636,30,1800,45,840.43618281511,35.301720534067,1.58340760367341,23.8072300754879
"February",71.7558727044636,3.87003199140153,3.52224846507036,-0.347783526331169,30.0500348961516,2156.26647877294,30,560.290788543407,35.301720534067,2.30617689490142,15.871486716992
"March",71.4080891781325,1.96130196641273,2.24159893111808,0.280296964705347,30.0242797998955,2143.97644946014,30.0500348961516,561.225258257389,35.301720534067,2.98021026532919,15.8979576566472
"April",71.6883861428378,-2.94776153101469,1.64567919387213,4.59344072488683,30.0390230227395,2153.44908180775,30.0242797998955,560.744246817711,35.301720534067,3.6144129607589,15.8843319343764
"May",76.2818268677246,1.39031208650266,0.874027015536815,-0.516285070965847,30.0155603000385,2289.64177414528,30.0390230227395,561.019596549476,35.301720534067,4.33335717283907,15.8921318298942
"June",75.7655417967588,1.51708715082282,11.7339937672402,10.2169066164173,29.9947692217246,2272.56994115271,30.0155603000385,560.581398302692,35.301720534067,3.01489532240403,15.8797188868377
"July",85.9824484131761,-0.258283678607361,10.3042535222747,10.5625372008821,30.0284826835489,2581.9224632642,29.9947692217246,560.193096647253,35.301720534067,2.58009687898295,15.8687193760614
"August",96.5449856140582,5.75152102539817,9.01381645291783,3.26229542751966,29.9867961471121,2895.07480263464,30.0284826835489,560.822741384256,35.301720534067,2.39693376606174,15.8865554681123
"September",99.8072810415779,-1.00812005252495,4.83857747387074,5.84669752639569,30.084306622813,3002.6328460441,29.9867961471121,560.044188638528,35.301720534067,2.45637047442081,15.8645012244679
"October",105.653978567974,7.96411077206916,5.12073484691993,-2.84337592514923,30.0594949546748,3175.90523570532,30.084306622813,561.865329349251,35.301720534067,2.49367709324082,15.916089098463
"November",102.810602642824,0.401032401628976,4.82311475120966,4.42208234958069,30.0122407383782,3085.57655697418,30.0594949546748,561.401937712377,35.301720534067,2.53755969760559,15.9029624964203
"December",107.232684992405,13.7849071877373,6.38228149343314,-7.40262569430411,29.9892797884543,3215.83099270442,30.0122407383782,560.519400975349,35.301720534067,2.51632634714944,15.8779626742111
